특성,하원,상원
2017-18년 제115차 대회,4.1,5.7
2015-16년 제114차 대회,5.0,5.6
2013-14년 제113차 대회,5.0,6.9
2011-12년 제112차 당대회,5.3,6.3
2009-10년 제111차 대회,7.4,7.1
2007-08년 제110차 당대회,7.6,6.3
2005-06년 제109차 대회,8.0,7.6
2003-04년 제108차 당대회,7.8,8.3
2001-02년 제107차 당대회,6.4,7.1
1999-00년 제106차 대회,8.0,7.3
"105차 대회, 1997-98",8.0,7.4
"104차 대회, 1995-96",8.4,8.4
"103차 당대회, 1993-94",7.1,8.6
"102차 당대회, 1991-92",6.4,8.0
"101차 대회, 1989-90",6.0,8.2
"100차 당대회, 1987-88",5.6,7.6
"99차 당대회, 1985-86",6.4,8.1
"98차 당대회, 1983-84",6.4,6.9
"97차 대회, 1981-82",4.7,6.9
