특성,미국 달러 기준 팬 비용 지수
라스베거스 레이더스,783.86
샌프란시스코 포티나이너스,667.22
필라델피아 이글스,657.22
그린 베이 패커스,655.62
뉴잉글랜드 패트리어츠,655.62
시카고 베어스,635.58
워싱턴 풋볼팀,625.82
로스앤젤레스 램스,597.46
시애틀 시호크스,592.99
휴스턴 텍사스,588.64
뉴욕 자이언츠,586.22
피츠버그 스틸러스,581.78
달라스 카우보이스,572.98
미네소타 바이킹스,562.35
NFL 평균,553.53
뉴올리언스 세인츠,547.68
볼티모어 레이븐스,540.38
캐롤라이나 팬더스,537.37
덴버 브롱코스,535.81
캔자스시티 치프스,530.5
인디애나폴리스 콜츠,516.41
애틀랜타 팔콘스,513.32
테네시 타이탄스,508.74
탬파베이 버커니어스,504.72
로스앤젤레스 차저스,504.5
뉴욕 제츠,503.62
마이애미 돌핀스,491.42
디트로이트 라이온스,482.27
버팔로 빌스,457.8
애리조나 카디널스,453.3
클리블랜드 브라운스,450.62
잭슨빌 재규어스,446.49
신시내티 벵골스,424.28
