특성,핀란드어,스웨덴어,사미어,외국어
우시마,1321843,130539,133,250163
핀란드 남서부,416228,27353,23,37858
사타쿤타,206082,789,2,8543
칸타하메,162367,653,8,7549
피르칸마,493909,1992,30,26921
패이제트하메(Päijät-Häme),193469,764,28,11510
키멘락소,151417,1237,3,10155
사우스 카렐리야,118423,223,3,8272
사우스 사보,127832,211,3,4656
노스사보,236490,236,4,7506
북카렐리야,156829,144,7,6557
핀란드 중부,262291,466,27,9833
사우스오스트로보스니아,186902,641,4,4603
오스트로보스니아,73610,89085,8,13113
중앙 오스트로보스니아,59699,6149,1,2139
노스 오스트로보스니아,399994,808,173,12855
카이누,69345,80,2,2237
라플란드,169482,481,1549,5153
땅,1405,25986,0,2738
