특성,국내 총생산(단위: 10억 달러)
2026*,309.91
2025*,294.17
2024*,279.19
2023*,265.46
2022*,253.91
2021*,243.33
2020,209.33
2019,210.22
2018,209.83
2017년,203.82
2016년,185.96
2015년,175.68
2014년,199.85
2013년,187.04
2012,175.11
2011년,167.16
2010년,145.34
2009년,121.77
2008년,135.54
2007년,134.96
2006년,109.75
2005년,113.21
2004년,101.58
2003년,82.47
2002년,62.05
2001년,53.11
2000,54.14
1999년,58.85
1998년,56.78
1997년,68.89
1996년,69.06
1995년,62.21
1994년,52.87
1993년,44.8
1992년,41.53
1991년,43.45
1990년,45.77
1989년,44.06
1988년,45.44
1987년,36.93
1986년,27.39
