특성,전년대비 인플레이션율
2026*,1.79%
2025*,1.88%
2024*,1.97%
2023*,1.98%
2022*,1.8%
2021*,1.76%
2020*,2.48%
2019*,-1.81%
2018*,0.56%
2017년,0.36%
2016년,1.92%
2015년,0.57%
2014년,2.1%
2013년,-1.49%
2012,-3.05%
2011년,1.5%
2010년,-3.9%
2009년,9.82%
2008년,13.67%
2007년,3.59%
2006년,-1%
2005년,-0.35%
2004년,-0.74%
2003년,1.63%
2002년,3.18%
2001년,6%
2000,0.38%
1999년,1.76%
1998년,3.67%
1997년,2.55%
1996년,-1.67%
1995년,4.1%
1994년,4%
1993년,6.11%
1992년,4.22%
1991년,6.08%
1990년,3.95%
1989년,5.61%
1988년,1.14%
1987년,-10.21%
1986년,6.61%
