컨설팅 회사,평균 명성 점수
맥킨지 앤 컴퍼니,8.98
"보스턴 컨설팅 그룹, Inc.",8.74
베인 앤 컴퍼니,8.6
딜로이트 컨설팅 LLP,7.12
PricewaterhouseCoopers LLP (컨설팅 업무),6.75
부즈 앨런 해밀턴,6.49
EY (Ernst & Young) LLP 컨설팅 실무,6.47
액센츄어,6.45
KPMG LLP (컨설팅 실무),6.16
올리버 와이먼,6.07
IBM 글로벌 서비스,5.78
파르테논 신전-EY,5.76
에. 커니,5.75
Strategy& (PwC 네트워크의 일부),5.65
L.E.K. 컨설팅,5.47
Lockheed Martin Corporation(IT 컨설팅),5.19
"가트너, Inc.",4.99
Grant Thornton LLP (컨설팅 업무),4.72
캡제미니,4.71
머서 LLC,4.7
오라클 컨설팅,4.58
GE 헬스케어 파트너,4.52
Northrop Grumman Corporation(IT 컨설팅),4.47
SAP 서비스(IT 컨설팅),4.35
네비컨트 컨설팅,4.31
