특성,국내 총생산(단위: 10억 달러)
2026*,103.13
2025*,96.3
2024*,90.13
2023*,84.59
2022*,79.74
2021*,74.26
2020*,68.42
2019,67.0
2018,65.52
2017년,58.98
2016년,54.99
2015년,48.6
2014년,53.17
2013년,63.28
2012,56.51
2011년,53.65
2010년,43.04
2009년,34.25
2008년,38.41
2007년,33.94
2006년,28.79
2005년,24.52
2004년,20.24
2003년,17.49
2002년,14.2
2001년,12.23
2000,11.47
1999년,17.76
1998년,17.15
1997년,15.79
1996년,15.46
1995년,14.54
1994년,12.3
1993년,13.38
1992년,16.48
1991년,16.67
1990년,14.9
1989년,12.9
1988년,12.68
1987년,11.93
1986년,14.23
