특성,백만 달러 단위의 매출
뉴욕,9740.53
플로리다,7505.11
텍사스,6704.03
캘리포니아,6601.28
매사추세츠 주*,5244.58
그루지야,4974.84
펜실베니아,4556.62
오하이오,4292.46
미시간,4247.42
메릴랜드,3469.86
뉴저지,3215.39
노스 캐롤라이나,3016.21
일리노이,2844.54
여자 이름,2148.61
사우스 캐롤라이나,2106.37
테네시,1840.8
미주리,1512.74
인디애나,1384.07
코네티컷,1303.62
켄터키,1203.44
오리건,1143.26
애리조나,1097.96
웨스트 버지니아,1026.16
워싱턴,817.3
위스콘신,725.44
로드 아일랜드*,700.33
미네소타,668.57
콜로라도,658.84
델라웨어,562.24
아칸소,531.44
루이지애나,509.11
뉴햄프셔,394.42
아이오와,371.95
미시시피,339.78
메인,314.11
사우스다코타,292.88
아이다호,277.6
캔자스,274.99
컬럼비아 특별구,208.84
네브라스카,183.08
버몬트,137.42
뉴 멕시코,127.05
몬태나,61.05
오클라호마,26.78
노스 다코타,24.39
와이오밍,24.07
