특성,1인당 GDP(미국 달러)
2026*,630.58
2025*,601.03
2024*,537.05
2023*,480.57
2022*,441.53
2021*,424.91
2020*,449.63
2019*,487.69
2018*,484.87
2017*,445.19
2016*,415.18
2015년,570.13
2014년,647.5
2013년,641.09
2012,631.76
2011년,574.87
2010년,469.47
2009년,518.47
2008년,549.71
2007년,471.13
2006년,427.96
2005년,405.14
2004년,371.3
2003년,314.69
2002년,291.22
2001년,282.67
2000,294.94
1999년,333.09
1998년,324.18
1997년,294.18
1996년,252.89
1995년,185.17
1994년,184.32
1993년,178.03
1992년,180.03
1991년,266.63
1990년,260.1
1989년,164.18
1988년,157.66
1987년,179.06
1986년,395.83
