특성,국내 총생산(단위: 10억 달러)
2026*,27659.15
2025*,26719.63
2024*,25790.12
2023*,24892.61
2022*,24003.7
2021*,22675.27
2020,20932.75
2019,21433.23
2018,20611.88
2017년,19542.98
2016년,18745.1
2015년,18238.3
2014년,17527.28
2013년,16784.83
2012,16197.05
2011년,15542.6
2010년,14992.05
2009년,14448.93
2008년,14712.83
2007년,14451.88
2006년,13814.6
2005년,13036.63
2004년,12213.73
2003년,11458.25
2002년,10936.45
2001년,10581.83
2000,10252.35
1999년,9630.7
1998년,9062.83
1997년,8577.55
1996년,8073.13
1995년,7639.75
1994년,7287.25
1993년,6858.55
1992년,6520.33
1991년,6158.13
1990년,5963.13
1989년,5641.6
1988년,5236.43
1987년,4855.25
1986년,4579.63
