특성,지출(백만 GBP)
2020년 1분기,434
2019년 4분기,402
2019년 3분기,404
2019년 2분기,379
2019년 1분기,376
2018년 4분기,395
2018년 3분기,382
2018년 2분기,372
2018년 1분기,365
2017년 4분기,371
2017년 3분기,374
2017년 2분기,366
2017년 1분기,375
2016년 4분기,374
2016년 3분기,364
2016년 2분기,340
2016년 1분기,305
2015년 4분기,274
2015년 3분기,267
2015년 2분기,278
2015년 1분기,290
2014년 4분기,308
2014년 3분기,319
2014년 2분기,327
2014년 1분기,331
2013년 4분기,318
2013년 3분기,312
2013년 2분기,316
2013년 1분기,314
2012년 4분기,361
2012년 3분기,370
2012년 2분기,371
2012년 1분기,367
2011년 4분기,354
2011년 3분기,346
2011년 2분기,348
2011년 1분기,349
