특성,전년대비 인플레이션율
2026*,6.46%
2025*,6.49%
2024*,6.53%
2023*,7.27%
2022*,8.01%
2021*,8.66%
2020,10.74%
2019,6.74%
2018,3.93%
2017년,4.15%
2016년,2.86%
2015년,4.53%
2014년,8.62%
2013년,7.36%
2012,11%
2011년,13.66%
2010년,10.1%
2009년,19.56%
2008년,12%
2007년,7.77%
2006년,7.92%
2005년,9.28%
2004년,4.57%
2003년,3.1%
2002년,3.54%
2001년,4.41%
2000,3.59%
1999년,5.74%
1998년,7.81%
1997년,11.81%
1996년,10.78%
1995년,13.02%
1994년,11.27%
1993년,9.83%
1992년,4.85%
1991년,12.63%
1990년,9.05%
1989년,7.88%
1988년,8.84%
1987년,4.69%
1986년,3.47%
