특성,미화 1조 달러 규모의 영수증
2020년 4분기,6.01
2020년 3분기,5.89
2020년 2분기,5.55
2020년 1분기,5.93
'19년 4분기,5.93
'19년 3분기,5.86
2019년 2분기,5.89
'19년 1분기,5.8
'18년 4분기,5.73
'18년 3분기,5.72
'18년 2분기,5.6
'18년 1분기,5.58
'17년 4분기,6.6
'17년 3분기,5.52
2017년 2분기,5.45
'17년 1분기,5.47
'16년 4분기,5.43
'16년 3분기,5.39
'16년 2분기,5.33
'16년 1분기,5.31
'15년 4분기,5.45
'15년 3분기,5.3
'15년 2분기,5.3
'15년 1분기,5.21
'14년 4분기,5.12
'14년 3분기,5.1
'14년 2분기,5.08
'14년 1분기,5.01
'13년 4분기,4.98
'13년 3분기,4.79
'13년 2분기,4.97
'13년 1분기,4.69
'12년 4분기,4.44
'12년 3분기,4.32
2012년 2분기,4.3
'12년 1분기,4.27
'11년 4분기,4.18
'11년 3분기,4.14
'11년 2분기,4.14
'11년 1분기,4.12
'10년 4분기,4.05
'10년 3분기,4.0
'10년 2분기,3.91
'10년 1분기,3.85
2009년 4분기,3.79
2009년 3분기,3.71
2009년 2분기,3.69
2009년 1분기,3.7
