특성,백만 유로 단위의 거래 가치
"Onex Corporation(스위스, 제조)이 SIG Combibloc Group을 인수했습니다.",3750
"Nordic Aviation Capital/ EQT Partners AB, Kirkbi Invest A/S(덴마크, 항공우주)가 NAC 인수",3000
"Apollo Global Management LLC, BPI France SA(프랑스, 제조)가 Verallia를 인수했습니다.",2945
"CVC Capital Partners Limited가 Douglas Holding을 인수했습니다(독일, 소매 및 소비재 제품).",2800
"Brait Private Equity가 인수한 New Look(영국, 소매 및 소비재 제품)",2613
"Hellman & Friedman LLC가 인수한 Securitas Direct Verisure Group(스웨덴, 산업 제품 및 서비스)",2500
"NJJ Capital이 Orange Communications를 인수(스위스, 통신)",2327
"Wendel SA가 인수한 Constantia Packaging(오스트리아, 제조)",2300
"Bain Capital, Advent International, Clessidra SGR SpA(이탈리아, 금융 서비스)가 ICBPI 인수",2150
"EQT Partners AB(독일, 헬스케어)가 인수한 Sivantos/Siemens Audiology Solutions",2150
