특성,백만 달러 단위의 수익
2020년 1월 1일 - 2020년 12월 31일,1242.4
2019년 1월 1일 - 2019년 12월 31일,5471.0
2018년 1월 1일 - 2018년 12월 31일,5460.8
2017년 1월 1일 - 2017년 12월 31일,5079.2
2016년 1월 1일 - 2016년 12월 31일,3235.85
2015년 1월 1일 - 2015년 12월 31일,2946.9
2014년 1월 1일 - 2014년 12월 31일,2695.39
2013년 1월 1일 - 2013년 12월 31일,2749.43
2012년 8월 31일 - 2012년 12월 31일,811.49
2012년 3월 30일 - 2012년 8월 30일,1206.07
2011 회계연도(2011년 4월 1일 - 2012년 3월 29일),2521.98
2010 회계연도(2010년 4월 2일 - 2011년 3월 31일),2362.54
2009 회계연도(2009년 4월 3일 - 2010년 4월 1일),2357.81
2008 회계연도(2008년 4월 4일 - 2009년 4월 2일),2215.06
2007 회계연도(2007년 3월 30일 - 2008년 4월 3일),2344.33
2006 회계연도(2006년 3월 31일 - 2007년 3월 29일),2303.22
