특성,북아메리카,유럽,세계의 나머지
2020년 4분기,7.19,1.91,1.11
2020년 3분기,5.49,1.43,0.95
2020년 2분기,3.4,1.1,0.89
2020년 1분기,3.57,1.09,1.0
'19년 4분기,4.42,1.37,1.35
'19년 3분기,3.75,1.05,1.01
2019년 2분기,3.14,0.95,1.2
'19년 1분기,2.81,0.77,0.97
'18년 4분기,3.38,1.04,1.24
'18년 3분기,2.62,0.85,0.84
'18년 2분기,2.21,0.66,0.96
'18년 1분기,2.1,0.53,0.58
'17년 4분기,2.75,0.66,0.56
'17년 3분기,2.17,0.48,0.3
2017년 2분기,1.97,0.39,0.29
'17년 1분기,1.81,0.24,0.19
'16년 4분기,2.15,0.28,0.15
'16년 3분기,1.76,0.24,0.04
'16년 2분기,1.06,0.14,0.01
'16년 1분기,0.67,0.07,0.01
