특성,1인당 GDP(미국 달러)
2026*,729.93
2025*,694.29
2024*,659.09
2023*,624.55
2022*,590.85
2021*,552.34
2020*,489.87
2019*,479.85
2018*,488.56
2017*,450.74
2016*,402.05
2015*,377.48
2014*,424.67
2013*,380.3
2012년 *,566.2
2011년 *,551.03
2010년 *,492.08
2009년 *,482.65
2008년 *,485.81
2007년 *,427.31
2006*,381.32
2005년 *,356.69
2004년,336.41
2003년,310.3
2002년,260.87
2001년,242.79
2000,238.51
1999년,290.99
1998년,296.1
1997년,285.8
1996년,298.44
1995년,340.99
1994년,268.11
1993년,418.92
1992년,489.79
1991년,502.9
1990년,539.66
1989년,474.88
1988년,490.94
1987년,465.18
1986년,431.34
