특성,국내 총생산(단위: 10억 달러)
2026*,290.85
2025*,278.13
2024*,266.41
2023*,255.0
2022*,240.91
2021*,225.92
2020,203.77
2019,230.75
2018,225.14
2017년,214.06
2016년,194.95
2015년,191.32
2014년,202.31
2013년,202.09
2012,192.88
2011년,170.98
2010년,148.93
2009년,121.49
2008년,121.75
2007년,102.19
2006년,87.46
2005년,74.23
2004년,66.13
2003년,58.54
2002년,53.95
2001년,51.03
2000,50.41
1999년,48.72
1998년,53.92
1997년,56.28
1996년,53.41
1995년,51.38
1994년,43.23
1993년,34.33
1992년,35.38
1991년,33.99
1990년,28.33
1989년,40.7
1988년,32.98
1987년,41.68
1986년,25.24
