특성,1인당 GDP(미국 달러)
2026*,302.98
2025*,296.64
2024*,290.18
2023*,281.91
2022*,273.56
2021*,265.18
2020*,253.59
2019*,257.44
2018*,271.29
2017*,291.86
2016년,281.06
2015년,318.99
2014년,286.37
2013년,267.7
2012,250.12
2011년,247.1
2010년,231.55
2009년,208.78
2008년,195.79
2007년,170.17
2006년,164.58
2005년,148.71
2004년,122.38
2003년,108.07
2002년,116.39
2001년,127.35
2000,130.23
1999년,133.41
1998년,141.76
1997년,157.05
1996년,142.59
1995년,167.18
1994년,157.47
1993년,162.57
1992년,187.24
1991년,207.67
1990년,207.11
1989년,213.18
1988년,211.18
1987년,231.93
1986년,253.42
