특성,국내 총생산(단위: 10억 달러)
2026*,322.6
2025*,312.0
2024*,301.36
2023*,289.56
2022*,277.41
2021*,257.39
2020,231.35
2019,239.54
2018,242.42
2017년,221.28
2016년,206.37
2015년,199.41
2014년,229.96
2013년,226.44
2012,216.36
2011년,245.08
2010년,238.31
2009년,244.4
2008년,263.39
2007년,240.52
2006년,208.77
2005년,197.36
2004년,189.3
2003년,165.19
2002년,134.7
2001년,121.61
2000,118.66
1999년,127.6
1998년,124.12
1997년,117.21
1996년,122.65
1995년,118.18
1994년,99.69
1993년,95.14
1992년,108.12
1991년,89.9
1990년,79.44
1989년,59.81
1988년,55.44
1987년,47.39
1986년,37.87
