특성,순이익(백만 달러)
2019년 3분기,319
2019년 2분기,440
2019년 1분기,1583
2018년 4분기,561
'18년 3분기,488
'18년 2분기,400
'18년 1분기,511
'17년 4분기,-41
'17년 3분기,592
2017년 2분기,58
'17년 1분기,-252
'16년 4분기,-113
'16년 3분기,478
'16년 2분기,423
'16년 1분기,473
'15년 4분기,261
'15년 3분기,426
'15년 2분기,332
'15년 1분기,394
2014년 4분기,413
2014년 3분기,1639
'14년 2분기,439
'14년 1분기,468
2013년 4분기,470
2013년 3분기,494
2013년 2분기,472
2013년 1분기,443
'12년 4분기,393
2012년 3분기,391
2012년 2분기,427
2012년 1분기,363
'11년 4분기,370
2011년 3분기,338
2011년 2분기,395
2011년 1분기,202
2010년 4분기,283
2010년 3분기,317
2010년 2분기,150
2010년 1분기,-26
