특성,평균 점수*
"싱기타 그루메티, 세렝게티, 탄자니아",99.75
미국 WY주 사라토가의 Brush Creek Ranch에 위치한 The Lodge & Spa,99.53
"Bushmans Kloof Wilderness Reserve & Wellness Retreat, 웨스턴 케이프, 남아프리카공화국",99.53
"ITC 그랜드 바라트(럭셔리 컬렉션), 구르가온, 인도",98.32
"초상화 로마, 로마, 이탈리아",98.01
미국 캘리포니아주 비스타 캘러비,98.01
"월도프 아스토리아 예루살렘, 예루살렘, 이스라엘",97.5
"나야라 스프링스, 아레날, 코스타리카",97.09
"신타 마니 클럽, 씨엠립, 캄보디아",97.06
미국 조지아주 리틀 세인트 시몬스 아일랜드에 위치한 더 로지(The Lodge on Little St. Simons Island),97.02
"원앤온리 더 팜, 두바이, 아랍에미리트",96.88
"포시즌스 사파리 로지 세렝게티, 세렝게티, 탄자니아",96.81
"C Lazy U Ranch, 그랜비, 콜로라도, 미국",96.78
"아로 하 웰니스 리트리트 (Aro Hā Wellness Retreat), 글레노키, 남섬, 뉴질랜드",96.74
"The Resort at Paws Up, Greenough, MT, 미국",96.73
