"유형, 연도, 위치",미화 백만 달러 규모의 피해
"폭염, 1998, AZ, FL, CO, TX, OK, 로스앤젤레스",4275
"한파, 1977, 이스트",2800
"한파, 2014, NY, MN GA, 필라델피아, 볼티모어, AK, AL, MS, LA, NC, SC, 애틀랜타, OH, IN, IL, PA, MI, NJ, VA, KY, MO",2500
"폭염, 1980, 미주리주 캔자스시티, 테네시주 멤피스 세인트루이스",2000
"폭염, 1986, NC, SC, AL, GA, VA, MD",1750
"한파, 2009, TX, PA, OK, KY, MO, AR, Washington DC",1100
"폭염, 1999, IL, MO, WI, OH, SC, OK, KY, IN, TN, NC, KS, GA, AR, MD, NE, NY, PA, LA, MI, MN, AL",1000
"한파, 1958, 이스트",520
"한파, 1951년, 테네시",100
"한파, 1990, WA, OH, IL, IN",40
