특성,현재 10억 달러로 표시된 지출
2018*,1453.0
2017*,1404.0
2016년,1352.98
2015년,1296.37
2014년,1241.63
2013년,1192.89
2012,1153.87
2011년,1136.88
2010년,1124.35
2009년,1100.9
2008년,1089.68
2007년,1054.9
2006년,984.05
2005년,925.25
2004년,875.99
2003년,830.29
2002년,795.69
2001년,752.78
2000,705.02
1999년,649.32
1998년,603.85
1997년,570.47
1996년,538.85
1995년,508.52
1994년,485.17
1993년,460.76
1992년,439.68
1991년,417.94
1990년,395.32
1989년,365.83
1988년,333.24
1987년,301.79
1986년,280.96
1985년,259.34
1984년,239.35
1983년,220.99
1982년,204.66
1981년,190.83
1980년,176.38
1979년,160.07
1978년,143.73
1977년,132.51
1976년,121.79
1975년,114.0
1974년,103.9
1973년,91.08
1972년,82.91
1971년,76.51
1970년,71.58
