특성,국내 총생산(단위: 10억 달러)
2026*,806.04
2025*,767.05
2024*,730.12
2023*,695.33
2022*,661.24
2021*,625.95
2020*,537.61
2019,531.28
2018,555.46
2017년,541.02
2016년,515.66
2015년,505.1
2014년,581.96
2013년,586.84
2012,552.48
2011년,574.09
2010년,495.81
2009년,436.54
2008년,517.71
2007년,491.26
2006년,423.09
2005년,392.22
2004년,385.12
2003년,334.34
2002년,266.85
2001년,242.4
2000,262.83
1999년,274.07
1998년,270.81
1997년,268.15
1996년,291.75
1995년,267.31
1994년,229.03
1993년,212.95
1992년,283.23
1991년,272.21
1990년,259.9
1989년,216.69
1988년,205.88
1987년,181.99
1986년,149.63
