특성,전년대비 인플레이션율
2026*,1%
2025*,1%
2024*,1.05%
2023*,1.2%
2022*,1.4%
2021*,1.1%
2020*,0.21%
2019,0.07%
2018,1.09%
2017년,1.01%
2016년,0.6%
2015년,-0.73%
2014년,1.14%
2013년,0.76%
2012,1.73%
2011년,5.13%
2010년,1.18%
2009년,0.54%
2008년,7.26%
2007년,4.58%
2006년,4.04%
2005년,4.69%
2004년,4.45%
2003년,2.12%
2002년,1.87%
2001년,3.75%
2000,2.27%
1999년,0.51%
1998년,2.55%
1997년,4.49%
1996년,9.79%
1995년,10.03%
1994년,10.58%
1993년,18.51%
1992년,11.22%
1991년,14.41%
1990년,28.29%
1989년,17.65%
1988년,19.77%
1987년,24.85%
1986년,31.95%
