특성,백만 달러 단위의 수익
2021년 1분기,4294.0
2020년 4분기,4638.0
2020년 3분기,4158.0
2020년 2분기,3685.0
2020년 1분기,3184.0
'19년 4분기,4149.0
'19년 3분기,3929.0
2019년 2분기,3835.0
'19년 1분기,3594.0
'18년 4분기,3960.0
'18년 3분기,4110.0
'18년 2분기,3930.0
'18년 1분기,3330.0
'17년 4분기,3620.0
'17년 3분기,3530.0
2017년 2분기,3079.0
'17년 1분기,2454.0
'16년 4분기,2623.0
'16년 3분기,2737.0
'16년 2분기,2748.0
'16년 1분기,2454.0
'15년 4분기,2887.0
'15년 3분기,2892.0
'15년 2분기,2673.0
'15년 1분기,2053.0
'14년 4분기,2264.0
'14년 3분기,2203.0
'14년 2분기,1932.0
'14년 1분기,1528.0
'13년 4분기,1573.0
'13년 3분기,1453.0
'13년 2분기,1232.0
'13년 1분기,961.0
'12년 4분기,1017.0
'12년 3분기,994.6
2012년 2분기,858.8
'12년 1분기,677.1
'11년 4분기,710.9
'11년 3분기,654.7
'11년 2분기,528.4
'11년 1분기,372.0
'10년 4분기,371.3
'10년 3분기,337.2
'10년 2분기,282.3
'10년 1분기,189.6
