특성,시청자 수(천 명)
2021년 4월,332.0
2021년 3월,248.0
2021년 2월,205.0
2021년 1월,99.47
2020년 12월,82.78
2020년 11월,71.76
2020년 10월,74.95
2020년 9월,81.84
2020년 8월,111.87
2020년 7월,126.67
2020년 6월,139.42
2020년 5월,134.16
2020년 4월,104.97
2020년 3월,75.52
2020년 2월,62.42
2020년 1월,57.29
2019년 12월,50.94
2019년 11월,46.08
2019년 10월,49.63
2019년 9월,54.82
2019년 8월,86.92
2019년 7월,84.26
2019년 6월,83.11
2019년 5월,100.43
2019년 4월,115.32
2019년 3월,82.93
2019년 2월,19.08
2019년 1월,16.32
2018년 12월,12.58
2018년 11월,13.66
2018년 10월,15.99
2018년 9월,18.28
2018년 8월,20.54
2018년 7월,21.88
2018년 6월,16.94
2018년 5월,15.68
2018년 4월,13.72
2018년 3월,14.02
2018년 2월,21.73
2018년 1월,17.4
