특성,국내 총생산(단위: 10억 달러)
2026*,242.34
2025*,230.54
2024*,219.24
2023*,207.01
2022*,194.14
2021*,176.54
2020,154.56
2019,163.46
2018,160.42
2017년,142.96
2016년,128.47
2015년,124.53
2014년,140.56
2013년,135.41
2012,128.15
2011년,141.11
2010년,131.14
2009년,130.76
2008년,158.14
2007년,139.97
2006년,115.58
2005년,112.98
2004년,103.96
2003년,85.3
2002년,67.61
2001년,53.75
2000,47.22
1999년,49.07
1998년,48.71
1997년,47.3
1996년,46.66
1995년,46.43
1994년,43.17
1993년,40.13
1992년,38.73
1991년,34.75
1990년,34.37
1989년,30.32
1988년,29.7
1987년,27.14
1986년,25.0
