수도권,범죄 심각도 지수
"위니펙, 매니토바",131.71
"레지나, 서스캐처원",129.96
"킬로나, 브리티시컬럼비아",121.38
"새스커툰, 서스캐처원",117.34
"에드먼턴, 앨버타",114.89
"멍크턴, 뉴브런즈윅",108.86
"썬더베이, 온타리오",100.59
"밴쿠버, 브리티시컬럼비아",95.39
"캘거리, 앨버타",92.91
"애버츠퍼드-미션, 브리티시컬럼비아",86.4
"브랜트퍼드, 온타리오",83.35
"그레이터 서드베리, 온타리오",82.05
"윈저, 온타리오",80.29
"런던, 온타리오",75.14
"빅토리아, 브리티시컬럼비아",74.34
"키치너-캠브리지-워털루, 온타리오",73.32
"세인트존스, 뉴펀들랜드 앤 래브라도",71.26
"킹스턴, 온타리오",67.82
"궬프, 온타리오",64.62
"세인트캐서린스-나이아가라, 온타리오",64.33
"핼리팩스, 노바스코샤",60.71
"해밀턴, 온타리오",60.15
"몬트리올, 퀘벡",57.98
"오타와-가티노, 온타리오주 일부",57.01
"오타와-가티노, 온타리오/퀘벡",56.72
뉴브런즈윅주 세인트존,56.1
"오타와-가티노, 퀘벡주",55.8
"피터버러, 온타리오",54.41
"토론토, 온타리오",54.18
"배리, 온타리오",53.05
"트루아리비에르, 퀘벡",51.8
"사기네이, 퀘벡",47.72
"셔브룩, 퀘벡",47.24
"퀘벡, 퀘벡",43.77
