특성,교역량(10억 달러)
운송 장비,253.53
화학,196.79
기계류(전기 제외),119.03
컴퓨터 및 전자 제품,112.34
석유 가스,94.93
석유 및 석탄 제품,93.29
식품 및 유사품,64.92
농산물,61.55
"특별 분류 조항, Nspf",48.71
1차 금속제품,46.97
기타 제조 상품,46.47
"전기 장비, 가전제품 및 부품",45.84
가공된 금속 제품,42.31
플라스틱 및 고무 제품,30.44
종이 제품,22.87
스크랩 및 폐기물,19.54
광물 및 광석,19.01
중고 또는 중고 상품,16.26
비금속 광물 제품,10.75
섬유 및 직물,8.39
음료 및 담배,7.39
목재 제품,6.69
신선하거나 냉장된 생선; 및 기타 수산물,4.97
가구 및 비품,4.66
"인쇄, 출판 및 유사 제품",4.53
의류 및 액세서리,3.04
가죽 및 관련 제품,2.87
섬유 공장 제품,2.64
"임업 제품, Nspf",1.95
축산물 및 축산물,1.94
반품 또는 재수입된 상품,0.04
