특성,GDP(10억 달러)
2026*,1229.13
2025*,1189.54
2024*,1150.97
2023*,1113.02
2022*,1073.23
2021*,1012.6
2020*,909.5
2019,907.15
2018,914.46
2017년,833.58
2016년,783.84
2015년,765.65
2014년,892.4
2013년,877.19
2012,839.46
2011년,905.11
2010년,848.07
2009년,870.57
2008년,951.77
2007년,848.66
2006년,733.99
2005년,685.73
2004년,658.08
2003년,579.93
2002년,473.53
2001년,431.59
2000,417.66
1999년,447.49
1998년,438.61
1997년,417.33
1996년,450.63
1995년,452.71
1994년,382.55
1993년,355.93
1992년,366.0
1991년,331.1
1990년,321.41
1989년,260.53
1988년,264.22
1987년,246.93
1986년,201.6
