특성,국내 총생산(단위: 10억 달러)
2026*,566.63
2025*,542.84
2024*,519.39
2023*,495.61
2022*,471.41
2021*,446.71
2020,402.64
2019,394.65
2018,370.46
2017년,352.67
2016년,318.62
2015년,300.12
2014년,310.05
2013년,292.69
2012,257.17
2011년,261.47
2010년,234.0
2009년,207.47
2008년,216.1
2007년,178.96
2006년,154.03
2005년,142.53
2004년,135.48
2003년,126.97
2002년,121.12
2001년,130.76
2000,132.34
1999년,117.11
1998년,115.93
1997년,114.69
1996년,110.0
1995년,100.39
1994년,84.5
1993년,74.03
1992년,73.65
1991년,65.91
1990년,58.11
1989년,49.24
1988년,48.4
1987년,39.07
1986년,32.71
