특성,베네시안 마카오 쇼핑,마리나 베이 샌즈 더 샵스(싱가포르),Four Seasons 매장(마카오),샌즈 코타이 센트럴 쇼핑,파리지앵 쇼핑몰 (마카오),샌즈 베들레헴 아울렛(펜실베니아),런던의 상점
2020,125.0,112,79.0,-,27,-,37
2019,253.0,185,151.0,70,53,-,70
2018,233.0,179,145.0,69,57,-,-
2017,220.0,167,131.0,63,66,4,-
2016,209.0,166,127.0,62,-,4,-
2015,204.62,163.47,130.22,61.91,-,4.09,-
2014,191.63,169.26,132.33,56.41,-,3.91,-
2013,169.15,153.84,113.12,42.12,-,3.17,-
2012,139.52,156.32,83.48,16.07,-,1.54,-
2011,121.19,137.77,65.97,-,-,0.19,-
2010,98.12,46.82,41.68,-,-,-,-
2009,100.73,-,36.57,-,-,-,-
