특성,PE 거래 가치(10억 유로)
Play Communications(폴란드) 일리아드,3.69
Peak Games(터키) Zynga,1.61
Globe Trade Center Group (폴란드) Optimum Ventures 사모펀드,1.29
CEZ(루마니아)의 선정된 전력 생산 및 배전 자산 Macquarie Infrastructure & Real Assets(MIRA),1.2
"Goodman Group의 1.28m sqm CEE 물류 포트폴리오(폴란드, 체코, 헝가리, 슬로바키아) GLP",1.0
Vakifbank (터키) 터키 웰스 펀드,0.92
Halkbank (터키) 터키 웰스 펀드,0.92
Turkcell(터키) 터키 웰스 펀드; 레터원 그룹,0.71
"Yandex (러시아) VTB Capital; 개인 투자자 Roman Abramovich, Alexander Frolov 및 Alexander Abramov",0.53
SAZKA 그룹(체코) Apollo Global Management,0.5
