특성,경기장 건설 비용(단위: 백만 달러)
"텍사스 스타디움, 2009",1150.0
"루카스 오일 스타디움, 2008",750.0
"솔저 필드, 2003",660.0
"링컨 파이낸셜 필드, 2003",512.0
"피닉스 대학교 스타디움, 2006년",455.0
"폴 브라운 스타디움, 2000",453.0
"포드 필드, 2002",430.0
"애로우헤드 스타디움, 2009",375.0
"마일 하이의 INVESCO 필드, 2001",364.2
"퀘스트 필드, 2002",360.0
2002년 릴라이언트 스타디움,352.0
"질레트 스타디움, 2002",325.0
"클리블랜드 브라운스 스타디움, 1999",315.0
"램보 필드, 2003",295.0
"LP 필드, 1999",292.0
"하인즈 필드, 2001",281.0
"에드워드 존스 돔, 1995",280.0
"페덱스필드, 1997",250.5
"랜드샤크 스타디움, 2007",250.0
1996년 뱅크 오브 아메리카 스타디움,247.0
"M&T 은행 경기장, 1998",229.0
"조지아 돔, 1992",214.0
2007년 루이지애나 슈퍼돔,210.0
"오클랜드-알라메다 카운티 콜리세움, 1996년",200.0
"레이먼드 제임스 스타디움, 1998",168.0
"잭슨빌 시립 경기장, 1995",130.0
1997년 퀄컴 스타디움,78.0
"랄프 윌슨 스타디움, 1999",63.0
