특성,전년대비 인플레이션율
2026*,2.97%
2025*,2.97%
2024*,2.97%
2023*,2.97%
2022*,3.05%
2021*,3.01%
2020,3.48%
2019,-0.97%
2018,4.04%
2017년,-0.9%
2016년,-1.63%
2015년,4.83%
2014년,1.68%
2013년,0.22%
2012,7.52%
2011년,2.03%
2010년,-2.11%
2009년,10.1%
2008년,8.33%
2007년,-7.44%
2006년,9.64%
2005년,4.45%
2004년,-4.8%
2003년,-1.75%
2002년,5.19%
2001년,12.43%
2000,3.82%
1999년,-8.45%
1998년,4.26%
1997년,5.57%
1996년,11.33%
1995년,5.36%
1994년,41.27%
1993년,-10.87%
1992년,-3.8%
1991년,4.2%
1990년,0.5%
1989년,-4.9%
1988년,14.9%
1987년,-2.73%
1986년,-13.05%
