특성,빈곤선 이하의 사람들의 비율
미시간 주 디트로이트 시,30.6%
펜실베니아주 필라델피아 시,23.3%
텍사스 주 휴스턴 시,19.7%
텍사스 주 엘패소 시,18.6%
텍사스 주 댈러스 시,17.5%
매사추세츠 주 보스턴 시,17.1%
텍사스 주 샌안토니오 시,16.8%
캘리포니아 주 로스앤젤레스 시,16.7%
일리노이주 시카고 시,16.4%
오하이오주 콜럼버스 시,16.3%
"뉴욕주, 뉴욕",16%
"오클라호마시티, 오클라호마",15.8%
"인디애나폴리스 시티(균형), 인디애나",15.8%
애리조나 주 피닉스 시,15.6%
플로리다 주 잭슨빌 시,14.1%
"워싱턴시, 컬럼비아 특별구",13.5%
"내슈빌-데이비슨 광역 정부(균형), 테네시",12.6%
텍사스 주 오스틴 시,12.2%
텍사스 주 포트워스 시,11.9%
콜로라도 주 덴버 시,11.7%
노스캐롤라이나주 샬럿시티,11.2%
캘리포니아 주 샌디에이고 시,11%
워싱턴 주 시애틀 시,9.8%
캘리포니아 주 샌프란시스코 시,9.5%
캘리포니아 주 산호세 시,7.1%
