수도권,강력범죄 심각도 지수
"위니펙, 매니토바",173.96
"썬더베이, 온타리오",145.91
"새스커툰, 서스캐처원",134.73
"레지나, 서스캐처원",132.63
"에드먼턴, 앨버타",109.08
"멍크턴, 뉴브런즈윅",106.66
"브랜트퍼드, 온타리오",100.96
"그레이터 서드베리, 온타리오",94.45
"키치너-캠브리지-워털루, 온타리오",87.71
"캘거리, 앨버타",84.5
"핼리팩스, 노바스코샤",83.76
"킬로나, 브리티시컬럼비아",82.19
"세인트존스, 뉴펀들랜드 앤 래브라도",82.18
"밴쿠버, 브리티시컬럼비아",80.25
"토론토, 온타리오",78.06
"애버츠퍼드-미션, 브리티시컬럼비아",77.46
"몬트리올, 퀘벡",76.07
"해밀턴, 온타리오",74.04
뉴브런즈윅주 세인트존,73.76
"오타와-가티노, 퀘벡주",71.15
"오타와-가티노, 온타리오/퀘벡",69.39
"오타와-가티노, 온타리오주 일부",68.84
"윈저, 온타리오",67.65
"킹스턴, 온타리오",66.88
"피터버러, 온타리오",65.67
"빅토리아, 브리티시컬럼비아",65.16
"사기네이, 퀘벡",64.49
"트루아리비에르, 퀘벡",64.17
"런던, 온타리오",63.86
"배리, 온타리오",62.08
"퀘벡, 퀘벡",57.25
"세인트캐서린스-나이아가라, 온타리오",56.75
"셔브룩, 퀘벡",56.32
"궬프, 온타리오",52.09
