특성,1인당 GDP(미국 달러)
2026*,24681.44
2025*,24069.84
2024*,23629.95
2023*,23168.48
2022*,22869.19
2021*,22700.14
2020*,20178.23
2019,23266.49
2018,23538.93
2017년,21113.96
2016년,20288.92
2015년,21063.31
2014년,24929.32
2013년,24892.99
2012,25208.16
2011년,23654.87
2010년,19163.34
2009년,16094.68
2008년,20157.3
2007년,16666.63
2006년,15603.99
2005년,14068.22
2004년,11467.1
2003년,9800.53
2002년,8822.51
2001년,8778.39
2000,9256.54
1999년,8092.7
1998년,7525.3
1997년,8706.35
1996년,8527.67
1995년,7893.42
1994년,7626.36
1993년,7686.01
1992년,8077.77
1991년,8280.18
1990년,7734.98
1989년,6583.29
1988년,6398.84
1987년,6524.16
1986년,6955.05
