특성,시청자 수(천 명)
2021년 4월,111.0
2021년 3월,118.0
2021년 2월,122.0
2021년 1월,108.0
2020년 12월,96.99
2020년 11월,106.29
2020년 10월,66.99
2020년 9월,54.13
2020년 8월,54.16
2020년 7월,71.07
2020년 6월,54.01
2020년 5월,55.28
2020년 4월,57.2
2020년 3월,30.82
2020년 2월,24.7
2020년 1월,25.18
2019년 12월,22.81
2019년 11월,21.92
2019년 10월,20.32
2019년 9월,32.79
2019년 8월,44.01
2019년 7월,25.15
2019년 6월,23.72
2019년 5월,11.98
2019년 4월,8.55
2019년 3월,7.31
2019년 2월,9.33
2019년 1월,14.53
2018년 12월,8.58
2018년 11월,5.96
2018년 10월,5.91
2018년 9월,5.6
2018년 8월,7.17
2018년 7월,7.06
2018년 6월,4.27
2018년 5월,4.13
2018년 4월,5.55
2018년 3월,4.87
2018년 2월,4.96
2018년 1월,5.37
