특성,근로자의 치명적인 부상
2019/20,111
2018/19,147
2017/18,141
2016/17,135
2015/16,147
2014/15,142
2013/14,136
2012/13,150
2011/12,171
2010/11,175
2009/10,147
2008/09,179
2007/08,233
2006/07,247
2005/06,217
2004/05,223
2003/04,236
2002/03,227
2001/02,251
2000/01,292
1999/00,220
1998/99,253
1997/98,274
1996/97,287
1995/96,258
1994/95,272
1993/94,296
1992/93,339
1991/92,368
1990/91,433
1989/90,475
1988/89,609
1987/88,445
1986/87,407
1985년,471
1984년,498
1983년,513
1982년,520
1981년,495
1980년,440
1979년,492
1978년,499
1977년,524
1976년,586
1975년,620
1974년,651
