특성,백만 유로 단위의 시가총액
2021년 3월,12620.09
2021년 2월,13241.23
2021년 1월,12135.0
2020년 12월,12975.61
2020년 11월,10636.8
2020년 10월,8835.18
2020년 9월,9020.04
2020년 8월,8437.84
2020년 7월,8470.7
2020년 6월,8863.0
2020년 5월,8708.59
2020년 4월,8882.87
2020년 3월,8647.83
2020년 2월,9015.84
2020년 1월,10134.8
2019년 12월,10365.26
2019년 11월,10342.81
2019년 10월,8910.86
2019년 9월,8454.11
2019년 8월,8835.34
2019년 7월,9583.45
2019년 6월,9690.32
2019년 5월,8462.74
2019년 4월,9443.63
2019년 3월,9183.61
2019년 2월,8638.12
2019년 1월,8378.63
2018년 12월,7353.85
2018년 11월,7376.63
2018년 10월,7882.23
2018년 9월,9590.15
2018년 8월,9959.7
2018년 7월,9583.45
2018년 6월,9950.18
2018년 5월,10030.43
2018년 4월,9549.23
2018년 3월,7863.82
2018년 2월,7320.71
2018년 1월,6771.44
2017년 12월,6681.13
2017년 11월,5883.52
2017년 10월,6198.56
2017년 9월,6207.28
2017년 8월,6057.71
2017년 7월,5751.88
