특성,백만 달러 단위의 매출
안호이저-부시 인베브,46881
네슬레 SA,43476
코카콜라 주식회사,33014
펩시코 주식회사,32567
하이네켄 N.V.,23663
산토리 홀딩스 주식회사,21670
스타벅스 주식회사,17873
디아지오 PLC,16411
큐리그 닥터페퍼,11618
몰슨 쿠어스 브루잉 컴퍼니,9654
유니레버 그룹§,9566
별자리 브랜드 Inc.,9356
페르노 리카드,8450
E. & J. 갈로 와이너리*,8344
제이콥스 도우 에그베르츠*,7890
레드불 GmbH*,7663
애보트§§§,7647
바카디 주식회사*,6265
LVMH 루이비통 모에헤네시,5733
더원더풀컴퍼니*+,5000
글랜비아 PLC^^,4614
캠벨 수프 주식회사§§,4606
몬스터음료 주식회사,4600
다농그룹^,4346
브라운-포먼 주식회사,4306
이토엔 그룹,3104
AriZona Beverage Co.*,3000
J. M. 스머커 주식회사,2601
나이아가라 보틀링 LLC*,2410
마크 앤서니 그룹 Inc.++*,2271
다비드 캄파리,2136
씨앤씨그룹 PLC,2065
트레저리 와인 에스테이트,2041
Lassonde Industries Inc.*,1981
브리트빅 PLC,1962
