특성,국내 총생산(단위: 10억 달러)
2026*,469.26
2025*,448.79
2024*,429.36
2023*,410.34
2022*,391.91
2021*,374.39
2020*,339.98
2019,374.39
2018,375.96
2017년,343.33
2016년,318.75
2015년,308.0
2014년,314.86
2013년,307.58
2012,295.09
2011년,279.36
2010년,239.81
2009년,194.15
2008년,193.62
2007년,180.94
2006년,148.63
2005년,127.81
2004년,115.03
2003년,97.65
2002년,92.54
2001년,89.79
2000,96.08
1999년,86.29
1998년,85.73
1997년,100.12
1996년,96.29
1995년,87.81
1994년,73.69
1993년,60.6
1992년,52.13
1991년,45.47
1990년,38.89
1989년,31.44
1988년,26.55
1987년,21.63
1986년,18.78
