특성,시장 점유율
12월 20일,1.29%
11월 20일,1.67%
10월 20일,1.65%
9월 20일,1.67%
8월 20일,1.94%
7월 20일,1.9%
6월 20일,1.42%
5월 20일,1.69%
4월 20일,1.3%
3월 20일,1.55%
2월 20일,2.7%
1월 20일,2.04%
12월 19일,1.95%
11월 19일,1.84%
10월 19일,1.75%
9월 19일,2%
8월 19일,1.94%
7월 19일,2.82%
6월 19일,1.8%
5월 19일,2.53%
4월 19일,2.25%
3월 19일,2.41%
2월 19일,2.72%
1월 19일,2.41%
12월 18일,1.39%
11월 18일,1.81%
10월 18일,2.14%
9월 18일,2.36%
8월 18일,1.9%
7월 18일,2.09%
6월 18일,2.19%
5월 18일,2.29%
4월 18일,2.4%
3월 18일,1.91%
2월 18일,2.64%
1월 18일,2.13%
12월 17일,1.43%
11월 17일,1.74%
10월 17일,1.91%
9월 17일,1.95%
8월 17일,2.69%
7월 17일,1.98%
6월 17일,1.92%
5월 17일,2.16%
4월 17일,1.83%
3월 17일,2.31%
2월 17일,2.55%
1월 17일,1.86%
