특성,"출생 1,000명당 사망 수"
미시시피,9.07
루이지애나,8.07
앨라배마,7.89
노스 다코타,7.35
오클라호마,7.08
테네시,7.06
와이오밍,7.0
그루지야,6.98
사우스 캐롤라이나,6.97
오하이오,6.97
아칸소,6.9
노스 캐롤라이나,6.8
사우스다코타,6.68
인디애나,6.53
미시간,6.33
웨스트 버지니아,6.31
델라웨어,6.22
미주리,6.1
플로리다,6.01
메릴랜드,5.91
위스콘신,5.85
펜실베니아,5.85
여자 이름,5.82
로드 아일랜드,5.8
캔자스,5.69
네바다,5.63
뉴 멕시코,5.61
일리노이,5.52
텍사스,5.49
애리조나,5.24
메인,5.23
유타,5.13
하와이,5.06
아이오와,5.03
켄터키,5.0
네브라스카,4.95
알래스카,4.81
콜로라도,4.74
오리건,4.69
몬태나,4.63
미네소타,4.47
코네티컷,4.42
아이다호,4.39
뉴저지,4.3
뉴욕,4.26
워싱턴,4.14
캘리포니아,4.06
매사추세츠 주,3.59
뉴햄프셔,3.07
