특성,GDP(10억 달러)
2026*,1263.77
2025*,1149.24
2024*,1042.33
2023*,953.98
2022*,868.44
2021*,794.53
2020,719.54
2019,760.94
2018,779.6
2017년,858.93
2016년,869.28
2015년,864.07
2014년,938.51
2013년,957.5
2012,880.14
2011년,838.51
2010년,776.56
2009년,648.8
2008년,770.82
2007년,680.49
2006년,555.13
2005년,506.19
2004년,409.13
2003년,314.75
2002년,240.19
2001년,202.25
2000,274.32
1999년,256.57
1998년,275.82
1997년,261.85
1996년,250.48
1995년,233.56
1994년,179.35
1993년,248.56
1992년,219.17
1991년,208.4
1990년,207.5
1989년,147.72
1988년,125.03
1987년,118.92
1986년,102.33
