특성,백만 GBP 단위의 미결제 금액
2020년 6월,85883
20년 5월,83857
2020년 4월,82675
2020년 3월,83189
2020년 2월,82943
2020년 1월,82892
19년 12월,82708
'19년 11월,82821
19년 10월,82886
'19년 9월,82828
'19년 8월,82791
'19년 7월,82677
19년 6월,82598
19년 5월,82475
'19년 4월,82589
'19년 3월,82887
'19년 2월,82678
19년 1월,82400
'18년 12월,82161
'18년 11월,81938
18년 10월,81746
'18년 9월,81743
'18년 8월,81629
'18년 7월,81619
18년 6월,81550
18년 5월,81476
'18년 4월,81528
'18년 3월,81600
'18년 2월,81701
'18년 1월,81859
'17년 12월,81958
'17년 11월,82056
'17년 10월,82092
'17년 9월,82072
'17년 8월,82047
'17년 7월,82094
'17년 6월,82122
'17년 5월,82131
'17년 4월,82032
'17년 3월,81834
'17년 2월,81544
'17년 1월,81216
