특성,"HICP, 2015=100"
5월 21일,107.4
4월 21일,107.02
3월 21일,106.8
2월 21일,106.07
1월 21일,106.03
12월 20일,105.75
11월 20일,105.5
10월 20일,105.27
9월 20일,105.3
8월 20일,105.89
7월 20일,106.01
6월 20일,105.58
5월 20일,105.49
4월 20일,105.32
3월 20일,105.34
2월 20일,105.27
1월 20일,105.24
12월 19일,105.78
11월 19일,105.27
10월 19일,105.2
9월 19일,105.28
8월 19일,105.67
7월 19일,105.11
6월 19일,105.35
5월 19일,105.06
4월 19일,104.93
3월 19일,104.55
2월 19일,103.64
1월 19일,103.52
12월 18일,104.1
11월 18일,104.0
10월 18일,104.24
9월 18일,104.12
8월 18일,104.35
7월 18일,103.8
6월 18일,103.93
5월 18일,103.92
4월 18일,103.43
3월 18일,103.22
2월 18일,102.05
1월 18일,102.06
