특성,테스트 횟수
50주차,708088
49주차,558283
48주차,513247
47주차,517286
46주차,511489
45주차,481560
44주차,454374
43주차,344318
42주차,244038
41주차,302300
40주차,312796
39주차,356149
38주차,358521
37주차,336399
36주차,259099
35주차,246662
34주차,245946
33주차,219477
32주차,173066
31주차,134662
30주차,109656
29주차,104242
28주차,99190
27주차,104583
26주차,115509
25주차,114721
24주차,97234
23주차,76382
22주차,90141
21주차,84405
20주차,87836
19주차,87105
18주차,102334
17주차,79552
16주차,28917
15주차,28445
14주차,29464
13주차,10570
12주차,7658
11주차,5077
10주차,998
9주차,491
8주차,12
7주차,4
6주차,5
5주차,3
