특성,백만 파운드 단위로 상환
'19년 11월,11908
19년 10월,11763
'19년 9월,12007
'19년 8월,12194
'19년 7월,12088
19년 6월,12363
19년 5월,12135
'19년 4월,12130
'19년 3월,12386
'19년 2월,12349
19년 1월,12152
'18년 12월,11907
'18년 11월,12392
18년 10월,12367
'18년 9월,12733
'18년 8월,12591
'18년 7월,12598
18년 6월,12641
18년 5월,12447
'18년 4월,12704
'18년 3월,12919
'18년 2월,12813
'18년 1월,12600
'17년 12월,12542
'17년 11월,13007
'17년 10월,13061
'17년 9월,13238
'17년 8월,13026
'17년 7월,13070
'17년 6월,13047
'17년 5월,13127
'17년 4월,13058
'17년 3월,13152
'17년 2월,13260
'17년 1월,12931
'16년 12월,12527
'16년 11월,12803
'16년 10월,12861
'16년 9월,12983
'16년 8월,12113
'16년 7월,12213
'16년 6월,11984
'16년 5월,12172
