특성,박스오피스 총액(단위: 백만 달러)
어벤져스: 엔드게임 (2019),357.1
어벤져스: 인피니티 워 (2018),257.7
마블 어벤져스(2012),207.44
블랙 팬서(2018),202.0
어벤져스: 에이지 오브 울트론(2015),191.27
캡틴 아메리카: 시빌 워(2016),179.14
아이언맨 3 (2013),174.14
캡틴 마블 (2019),153.43
가디언즈 오브 갤럭시 Vol. 2 (2017),146.51
아이언맨 2 (2010),128.12
토르: 라그나로크 (2017),122.74
스파이더맨: 홈커밍(2017),117.03
아이언맨 (2008),98.61
캡틴 아메리카: 윈터 솔져(2014),95.02
가디언즈 오브 갤럭시 (2014),94.32
스파이더맨: 파 프롬 홈 (2019),92.58
토르: 다크 월드 (2013),85.74
닥터 스트레인지 (2016),85.06
앤트맨과 와스프 (2018),76.03
토르(2011),65.72
캡틴 아메리카: 퍼스트 어벤저(2011),65.06
앤트맨(2015),57.23
인크레더블 헐크 (2008),55.41
