특성,3월 4일,3월 6일,3월 9일,3월 12일
위그20,-1.52%,-3.18%,-7.87%,-13.28%
MWIG40,-0.8%,-2.18%,-6.23%,-11.92%
SWIG80,-0.01%,-1.31%,-7.76%,-10.73%
WIG30,-1.4%,-3.1%,-7.58%,-13.09%
가발,-1.24%,-2.81%,-7.5%,-12.65%
가발은행,-1.02%,-3.35%,-9.03%,-15.15%
가발부도우,-0.32%,-0.57%,-6.22%,-6.9%
가발케미아,-0.81%,-0.92%,-8.23%,-11.57%
가발 에너지,-2.06%,-3.53%,-5.87%,-13.75%
가발고닉,-2.87%,-4.12%,-10.96%,-15.78%
가발 정보,-0.2%,-1.08%,-5.44%,-7.28%
가발레키,-0.4%,-4.03%,-15.75%,-18.69%
가발미디어,2.52%,-6.49%,-7.51%,-9.23%
가발모토,-1.3%,-2.52%,-5.51%,-13.32%
가발-NRCHOM,-0.03%,-0.59%,-7.59%,-6.2%
가발-ODZIEZ,-1.65%,-3.34%,-9.5%,-17.16%
가발팔리와,-3.66%,-5.15%,-삼%,-7.4%
가발-스포지W,-2.23%,-2.56%,-6.48%,-11.15%
가발텔콤,1.51%,-0.1%,-5.72%,-9.29%
