특성,1인당 GDP(미국 달러)
2026*,1114.06
2025*,1052.83
2024*,982.74
2023*,916.7
2022*,851.66
2021*,820.58
2020*,818.99
2019*,816.36
2018*,795.76
2017*,784.14
2016*,759.49
2015*,759.76
2014*,751.99
2013*,733.79
2012,732.08
2011년,677.6
2010년,614.8
2009년,587.04
2008년,547.5
2007년,443.73
2006년,369.72
2005년,294.34
2004년,244.04
2003년,222.52
2002년,206.57
2001년,212.11
2000,223.14
1999년,239.57
1998년,285.21
1997년,291.41
1996년,226.72
1995년,206.78
1994년,188.38
1993년,274.72
1992년,267.29
1991년,252.04
1990년,352.16
1989년,376.97
1988년,373.32
1987년,361.18
1986년,336.62
