특성,국내 총생산(단위: 10억 달러)
2026*,32.35
2025*,30.58
2024*,28.72
2023*,27.74
2022*,25.9
2021*,24.27
2020*,21.8
2019*,39.83
2018*,41.43
2017년,30.21
2016년,18.56
2015년,17.22
2014년,24.26
2013년,51.9
2012,79.76
2011년,32.0
2010년,68.97
2009년,50.81
2008년,73.92
2007년,67.69
2006년,54.96
2005년,47.34
2004년,33.0
2003년,26.19
2002년,20.47
2001년,34.11
2000,38.27
1999년,35.98
1998년,29.96
1997년,36.53
1996년,35.68
1995년,32.69
1994년,28.8
1993년,30.92
1992년,34.36
1991년,33.91
1990년,30.64
1989년,26.59
1988년,25.07
1987년,22.29
1986년,23.99
