특성,10억 달러 단위의 가치
8월 20일,169.8
7월 20일,117.8
6월 20일,84.1
5월 20일,24.2
4월 20일,19.3
3월 20일,59.3
2월 20일,120.9
1월 20일,77.8
12월 19일,137.2
11월 19일,125.7
10월 19일,122.3
9월 19일,71.8
8월 19일,184.9
7월 19일,153.3
6월 19일,323.9
5월 19일,158.4
4월 19일,144.6
3월 19일,135.8
2월 19일,140.4
1월 19일,203.9
12월 18일,99.7
11월 18일,126.6
10월 18일,167.7
9월 18일,155.3
8월 18일,167.8
7월 18일,142.3
6월 18일,163.7
5월 18일,187.0
4월 18일,260.8
3월 18일,195.8
2월 18일,144.5
1월 18일,196.1
12월 17일,276.4
11월 17일,117.5
10월 17일,120.4
9월 17일,115.9
8월 17일,156.6
