특성,빈곤선 이하 소득을 가진 사람의 수
"뉴욕주, 뉴욕",1312028
캘리포니아 주 로스앤젤레스 시,651205
텍사스 주 휴스턴 시,449733
일리노이주 시카고 시,432385
펜실베니아주 필라델피아 시,359011
애리조나 주 피닉스 시,258625
텍사스 주 샌안토니오 시,255532
텍사스 주 댈러스 시,232209
미시간 주 디트로이트 시,201766
캘리포니아 주 샌디에이고 시,153361
오하이오주 콜럼버스 시,143363
"인디애나폴리스 시티(균형), 인디애나",134443
플로리다 주 잭슨빌 시,125468
텍사스 주 엘패소 시,125140
텍사스 주 오스틴 시,116046
매사추세츠 주 보스턴 시,111442
텍사스 주 포트워스 시,106449
"오클라호마시티, 오클라호마",101536
노스캐롤라이나주 샬럿시티,97566
"워싱턴시, 컬럼비아 특별구",90534
콜로라도 주 덴버 시,83601
캘리포니아 주 샌프란시스코 시,82356
"내슈빌-데이비슨 광역 정부(균형), 테네시",81325
캘리포니아 주 산호세 시,71931
워싱턴 주 시애틀 시,71810
