특성,여성,남성
알바니아,1425342,1424700
오스트리아,4522292,4378772
벨기에,5841215,5681225
불가리아,3581836,3369646
크로아티아,2086515,1971650
키프로스,453534,434471
체코 공화국,5421943,5271996
덴마크,2925845,2896918
에스토니아,699699,629277
핀란드,2797030,2785818
프랑스,34787547,32532669
독일,42129098,41037613
그리스,5503077,5215488
헝가리,5088736,4680790
아이슬란드,177193,186941
아일랜드,2335733,2457657
이탈리아,30591392,29050096
라트비아,1026719,880956
리히텐슈타인,19532,19215
리투아니아,1489736,1304354
룩셈부르크,311144,314964
몰타,248802,265762
네덜란드,8759554,8648031
폴란드,19584757,18373381
포르투갈,5435932,4859977
루마니아,9868177,9460661
세르비아,3552066,3630114
슬로바키아,2792523,2665350
슬로베니아,1044795,1051066
스페인,24133301,23199313
스웨덴,5131775,5195814
스위스,4337170,4268863
