특성,노르웨이 배경이 없는 1세대 이민자,부모 중 한 명이 외국에서 태어난 노르웨이에서 태어난 사람,두 명의 외국 태생 부모와 함께 노르웨이에서 태어난 사람,노르웨이에서 태어난 부모 중 한 사람에게서 태어난 외국인,노르웨이에서 태어난 부모에게 해외에서 태어난 사람
2021,800094,284174,197848,38861,39198
2020,790497,277085,188757,38195,39086
2019,765108,269862,179294,37495,38977
2018,746661,262617,169964,36836,38863
2017,724987,255817,158764,36125,38685
2016,698550,248054,149657,35444,38483
2015,669380,242217,135583,34513,37919
2014,633110,235000,126075,33692,37709
2013,593321,227672,117144,32994,37555
2012,546732,220783,108438,32233,37321
2011,500500,213486,100422,31540,37056
