특성,국내 총생산(단위: 10억 달러)
2026*,410.82
2025*,386.58
2024*,362.8
2023*,339.75
2022*,316.34
2021*,289.13
2020*,247.21
2019,249.7
2018,241.46
2017년,211.7
2016년,188.13
2015년,177.9
2014년,199.63
2013년,190.95
2012,171.2
2011년,183.44
2010년,166.23
2009년,174.1
2008년,214.32
2007년,174.59
2006년,122.02
2005년,98.45
2004년,74.97
2003년,57.81
2002년,46.07
2001년,40.4
2000,37.28
1999년,35.95
1998년,42.54
1997년,35.64
1996년,35.69
1995년,35.84
1994년,30.38
1993년,26.62
1992년,19.78
1991년,29.07
1990년,38.52
1989년,54.24
1988년,60.54
1987년,58.48
1986년,52.29
