특성,백만 달러 단위의 수익
2021년 1분기,1036.02
2020년 4분기,1289.04
2020년 3분기,936.23
2020년 2분기,683.44
2020년 1분기,807.64
'19년 4분기,1007.34
'19년 3분기,823.72
2019년 2분기,841.38
'19년 1분기,786.89
'18년 4분기,908.84
'18년 3분기,758.11
'18년 2분기,710.54
'18년 1분기,664.87
'17년 4분기,731.56
'17년 3분기,589.63
2017년 2분기,573.86
'17년 1분기,548.25
'16년 4분기,717.21
'16년 3분기,615.93
'16년 2분기,601.96
'16년 1분기,594.52
'15년 4분기,710.47
'15년 3분기,569.24
'15년 2분기,502.38
'15년 1분기,435.94
'14년 4분기,479.08
'14년 3분기,361.27
'14년 2분기,312.17
'14년 1분기,250.49
'13년 4분기,242.68
'13년 3분기,168.58
'13년 2분기,139.29
'13년 1분기,114.34
'12년 4분기,112.25
'12년 3분기,82.33
2012년 2분기,68.05
'12년 1분기,54.31
'11년 4분기,41.21
'11년 3분기,26.42
'11년 2분기,20.77
'11년 1분기,17.91
